"id";"name";"seller";"actual_price";"json_fechas";"json_precios"
28;PC-INTEL-CORE-I5-10400---8GB---240GB-SSD;HyperGaming;337667.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[294655,294655,294655,294655,294655,294655,294655,294655,294655,294655,294655,294655,294655,294655,294655,294655,321588,337667,337667,337667,337667,337667,337667,337667,337667,337667,337667,337667]
29;MICRO-INTEL-CORE-I5-10400F-COMETLAKE-43GHZ-LGA1200;GoldenTechStore;352330.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[162110,162110,162110,162110,162110,162110,162110,162110,162110,162110,162110,162110,162110,162110,162110,173460,173460,173460,173460,216820,216820,216820,216820,216820,216820,216820,216820,216820,216820,352330,352330]
30;PC-INTEL-CORE-I5-10400-8GB-SSD-240GB;System32;316350.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[313996.91,313996.91,313996.91,313996.91,313996.91,313996.91,313996.91,313996.91,313996.91,313996.91,313996.91,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04,316350.04]
31;COMBO-DE-ACTUALIZACION-INTEL-CORE-I5-12400F-+-H610M-*REQUIERE-PLACA-DE-VIDEO;Logg;367355.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,367355,367355,367355,367355,367355,367355,367355,367355,367355,367355]
32;COMBO-DE-ACTUALIZACION-INTEL-CORE-I5-13100F-+-H610M-+-16GB*REQUIERE-PLACA-DE-VIDEO;Logg;372679.0;"[""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,372679,372679,372679,372679,372679,372679,372679,372679,372679,372679]
33;PROCESADOR-INTEL-CORE-I5-12600K-BX8071512600K-DE-10-NÚCLEOS-Y-49GHZ-DE-FRECUENCIA-CON-GRÁFICA-INTEGRADA;AcuarioInsumos;372794.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[260762,260762,260762,260762,260762,266281,269831,269831,284033,284033,284033,284033,284033,284033,284033,284033,284033,284033,319537,337290,337290,337290,337290,337290,337290,337290,337290,337290,372794,372794,372794]
34;PROCESADOR-INTEL-CORE-I5-12600K-DE-10-NÚCLEOS-49GHZ-ACUARIO;AcuarioInsumos;376667.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[263471,263471,263471,263471,263471,269048,272635,272635,286984,286984,286984,286984,286984,286984,286984,286984,286984,286984,322857,340794,340794,340794,340794,340794,340794,340794,340794,340794,376667,376667,376667]
35;PC-DE-ESCRITORIO-CPU-INTEL-CORE-I5-10400-8GB-M2-240GB;GamingCity;391799.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[332199,324999,324999,324999,324999,324999,324999,324599,324599,324599,324599,324599,315000,315000,315000,313599,314499,314499,314499,391299,391399,391399,391399,391399,391399,391399,391399,391399,391799,391799,391799]
36;MICRO-INTEL-CORE-I5-13400F-10-NÚCLEOS-/-16-THREADS-46GHZ-(13VA-GEN)-LGA1700;Gezatek;393999.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[239999,239999,239999,239999,239999,239999,239999,239999,239999,239999,239999,239999,239999,271999,271999,271999,271999,271999,303999,303999,303999,303999,303999,303999,303999,303999,303999,303999,364999,437999,393999]
37;COMBO-DE-ACTUALIZACION-INTEL-CORE-I5-12400F-+-H610M-+-16GB-*REQUIERE-PLACA-DE-VIDEO;Logg;417933.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,417933,417933,417933,417933,417933,417933,417933,417933,417933,417933]
38;COMBO-ACTUALIZACION-PC-INTEL-CORE-I5-12400-H610-16GB;GamingCity;427599.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[362899,362899,362899,362899,362899,362899,362899,362899,362899,362899,362899,361299,361299,361299,361299,355899,355899,355899,438200,438399,438399,438399,438399,438399,438399,438399,438399,427599,427599,427599]
39;MICRO-INTEL-CORE-I5-13400-10-NÚCLEOS-/-16-THREADS-46GHZ-(13VA-GEN)-LGA1700;Gezatek;440999.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,316999,316999,316999,316999,316999,353999,353999,353999,353999,353999,353999,353999,353999,353999,339999,407999,489999,440999]
40;COMBO-ACTUALIZACIÓN-PC-INTEL-CORE-I5-10400-+-H510M-+-8GB;SlotOne;448590.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,345990,345990,448590]
41;PC-ARMADA--INTEL-CORE-I5-10400-+-8GB-+-SSD;Gezatek;458999.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[307999,307999,307999,307999,307999,307999,307999,307999,307999,307999,307999,307999,307999,349999,349999,349999,349999,349999,390999,390999,390999,390999,390999,390999,390999,390999,390999,390999,424999,510999,458999]
42;COMBO-INTEL-CORE-I5-10400-+-GIGABYTE-B560M-DS3H-AC-+-8GB;AcuarioInsumos;470453.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[276725,276725,276725,276725,276725,276930,286324,286324,301355,301355,301355,301355,301355,301355,301355,301355,301355,301355,338933,357721,357721,357721,357721,357721,357721,357721,395298,395298,470453,470453,470453]
43;COMBO-DE-ACTUALIZACION-INTEL-CORE-I5-13400F-+-H610M-*REQUIERE-PLACA-DE-VIDEO;Logg;444553.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[333999,333999,333999,333999,333999,333999,333999,333999,333999,333999,333999,333999,333999,333999,333999,333999,333999,333999,333999,333999,333999,444553,444553,444553,444553,444553,444553,444553,444553,444553,444553]
44;COMBO-DE-ACTUALIZACION-INTEL-CORE-I5-13400F-+-H610M-+-8GB-*REQUIERE-PLACA-DE-VIDEO;Logg;475166.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[356999,356999,356999,356999,356999,356999,356999,356999,356999,356999,356999,356999,356999,356999,356999,356999,356999,356999,356999,356999,356999,475166,475166,475166,475166,475166,475166,475166,475166,475166,475166]
45;PC-ARMADA-OFICINA-HOGAR-INTEL-CORE-I5-10400F-8-GB-SSD;GamingCity;476099.0;"[""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[388699,388699,388699,388699,388699,388699,388240,389343,389343,389343,389343,380603,380603,380603,379223,379960,379960,380419,477480,477663,477663,477663,477663,477663,477663,477663,475640,476099,476099,476099]
46;COMBO-DE-ACTUALIZACION-INTEL-CORE-I5-13400F-+-H610M-+-16GB-*REQUIERE-PLACA-DE-VIDEO;Logg;495131.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[371999,371999,371999,371999,371999,371999,371999,371999,371999,371999,371999,371999,371999,371999,371999,371999,371999,371999,371999,371999,371999,495131,495131,495131,495131,495131,495131,495131,495131,495131,495131]
47;PC-HOGAREÑA-INTEL-CORE-I5-11400---16GB-DDR4---SSD-240GB---WIN-10;SlotOne;508440.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[326040,326040,326040,326040,326040,326040,326040,326040,317490,317490,317490,317490,317490,317490,317490,317490,317490,317490,317490,317490,317490,317490,317490,317490,317490,317490,317490,317490,389880,389880,508440]
48;COMBO-ACTUALIZACIÓN-PC-INTEL-CORE-I5-10400-+-H510M-+-16GB;SlotOne;472530.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,291270,363090,363090,472530]
49;COMBO-INTEL-CORE-I5-10400-+-GIGABYTE-B560M-DS3H-AC-+-16GB;AcuarioInsumos;509680.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[299773,299773,299773,299773,299773,299996,310176,310176,326461,326461,326461,326461,326461,326461,326461,326461,326461,326461,367176,387535,387535,387535,387535,387535,387535,387535,428250,428250,509680,509680,509680]
50;PC-ARMADA-INTEL-CORE-I5-10400-H510-8GB-RAM-240GB-SSD-GABINETE-KIT;HFTecnologia;509990.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[390990,390990,390990,390990,390990,390990,390990,390990,390990,390990,390990,390990,390990,390990,390990,390990,390990,390990,390990,390990,449990,449990,449990,449990,449990,449990,509990,509990,509990,509990,509990]
51;PC-GAMER-INTEL-CORE-I5-10400F-8GB-RAM-480G-SSD-RX-550;GamingCity;521915.0;"[""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""20/10"",""21/10""]";[433043,527987,521547,521547,521547,521547,521547,521547,521547,521547,521915,521915]
52;PC-INTEL-CORE-I5-10400---8GB-DDR4---SSD-240GB---WIN-10;SlotOne;523260.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[331170,331170,331170,331170,331170,331170,331170,331170,327180,327180,327180,327180,327180,327180,327180,327180,327180,327180,327180,327180,327180,327180,327180,327180,327180,327180,327180,327180,401850,401850,523260]
53;COMBO-ACTUALIZACIÓN-PC-INTEL-CORE-I5-12400-+-H610M-+-16GB-DDR4;SlotOne;532380.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[343140,343140,343140,343140,343140,343140,343140,343140,328890,328890,328890,328890,328890,328890,328890,328890,328890,328890,328890,328890,328890,328890,328890,328890,328890,328890,328890,328890,408690,408690,532380]
54;PC-ARMADA-INTEL-CORE-I5-10400-8GB-DDR4-240GB-SSD-H410-KIT;AcuarioInsumos;541784.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[318637,318637,318637,318637,318637,318873,329694,329694,347007,347007,347007,347007,347007,347007,347007,347007,347007,347007,390291,411933,411933,411933,411933,411933,411933,411933,455217,455217,541784,541784,541784]
